word	isHomograph	biggest	biggest.stderr	dominance	NormDictRankAgreement	NumMeanings	p1	p2	p3	p4	p5	p6	pExistDef	dictsp1p2	dictsp1p3	dictsp1p4	dictsp1p5	sp1p2	sp1p3	sp1p4	sp1p5	sp1p6	NumSenses	NumInterpWordNet	verbInterp	nounInterp	adjectiveInterp	imag	inSFFAN	wordCaseSensitive	wf	log10wf	len	coltN	OLD	posBigram	nPhon	nSyll
bossy	0	96	1.2	0.95	1	3	96	3	1	0	0	0	100	99	100	NA	NA	99	100	100	100	100	3	1	0	1	2	N/A	0	bossy	1.75	1.95	5	3	1.8	225	4	2
bound	0	41	2.2	0.24	0.71	4	36	19	20	25	0	0	100	61	81	100	NA	61	81	100	100	100	13	17	4	4	5	N/A	1	bound	18.43	2.97	5	7	1.45	251	4	1
bow	1	54	2.5	0.38	0.84	3	51	28	21	1	0	0	99	78	99	NA	NA	78	99	100	100	100	20	14	11	7	2	546	1	bow	20.27	3.01	3	30	1	32	2	1
bowl	0	67	1.3	0.46	0.94	2	64	36	0	0	0	0	100	100	NA	NA	NA	100	100	100	100	100	14	10	5	9	0	579	1	bowl	21.45	3.04	4	10	1.25	107	3	1
bowler	0	76	2.5	0.59	0.94	2	74	26	0	0	0	0	100	100	NA	NA	NA	100	100	100	100	100	2	3	0	2	0	N/A	0	bowler	1.31	1.83	6	7	1.55	1447	5	2
bowman	1	76	2.5	0.6	0.88	2	70	30	0	0	0	0	100	100	NA	NA	NA	100	100	100	100	100	2	1	0	2	0	N/A	0	Bowman	3.57	2.26	6	4	1.8	432	5	2
box	0	63	1.5	0.43	0.93	3	62	34	4	0	0	0	100	96	100	NA	NA	96	100	100	100	100	16	13	7	9	0	591	1	box	89.75	3.66	3	23	1	25	4	1
boxing	0	88	2	0.82	0.07	2	12	88	0	0	0	0	100	100	NA	NA	NA	100	100	100	100	100	4	2	0	4	0	N/A	1	boxing	7.25	2.57	6	5	1.7	856	6	2
brake	0	96	1	0.97	1	3	96	2	2	0	0	0	100	98	100	NA	NA	98	100	100	100	100	7	6	3	4	0	511	1	brake	5.98	2.49	5	5	1.45	260	4	1
bride	0	97	0.9	0.96	1	2	97	3	0	0	0	0	100	100	NA	NA	NA	100	100	100	100	100	2	3	0	2	0	N/A	1	bride	24.22	3.09	5	4	1.45	247	4	1
bridge	0	82	1.8	0.74	1	2	82	17	1	0	0	0	99	99	NA	NA	NA	99	100	100	100	100	7	12	1	6	0	608	1	bridge	45.71	3.37	6	2	1.6	355	4	1
brook	0	94	1.2	0.92	1	2	94	6	0	0	0	0	100	100	NA	NA	NA	100	100	100	100	100	2	2	1	1	0	597	1	brook	2.04	2.02	5	4	1.65	233	4	1
brush	0	71	2.1	0.51	1	2	71	29	0	0	0	0	100	100	NA	NA	NA	100	100	100	100	100	10	14	4	6	0	570	1	brush	14.16	2.86	5	4	1.7	194	4	1
buck	0	68	2.3	0.54	0.39	4	28	58	5	4	5	0	95	85	90	95	NA	85	90	96	100	100	13	9	7	5	1	N/A	1	Buck	33.75	3.24	4	18	1	120	3	1
bud	0	63	2.1	0.4	0.62	2	49	48	2	0	0	0	98	98	NA	NA	NA	98	100	100	100	100	8	4	3	5	0	508	1	Bud	35.45	3.26	3	26	1	22	3	1
buff	0	65	1.9	0.41	0.62	2	48	36	16	0	0	0	84	84	NA	NA	NA	84	100	100	100	100	9	8	2	5	2	N/A	0	buff	2.49	2.11	4	13	1.1	85	3	1
buffer	0	73	1.8	0.59	0.69	2	53	47	0	0	0	0	100	100	NA	NA	NA	100	100	100	100	100	7	8	2	5	0	459	0	buffer	1.67	1.93	6	6	1.6	1186	5	2
buffet	0	92	1.9	0.87	0.14	2	15	85	0	0	0	0	100	100	NA	NA	NA	100	100	100	100	100	8	5	2	5	1	N/A	0	buffet	4.43	2.36	6	4	1.75	391	5	2
buggy	0	79	2.6	0.65	0.87	2	77	23	0	0	0	0	100	100	NA	NA	NA	100	100	100	100	100	4	3	0	2	2	N/A	1	buggy	2.49	2.11	5	6	1.7	161	4	2
bull	0	95	1.2	0.94	1	2	95	5	0	0	0	0	100	100	NA	NA	NA	100	100	100	100	100	10	15	1	6	3	N/A	1	bull	27.51	3.15	4	18	1	145	3	1
bully	0	96	0.8	0.96	1	2	96	4	0	0	0	0	100	100	NA	NA	NA	100	100	100	100	100	6	4	2	2	1	N/A	1	bully	7.22	2.57	5	15	1.2	340	4	2
bunk	0	91	2.2	0.85	1	2	91	9	0	0	0	0	100	100	NA	NA	NA	100	100	100	100	100	4	9	1	3	0	N/A	0	bunk	6.27	2.51	4	18	1	134	4	1
burden	0	90	1.5	0.87	0.94	2	88	12	0	0	0	0	100	100	NA	NA	NA	100	100	100	100	100	5	6	1	4	0	499	1	burden	9.82	2.7	6	1	1.9	688	4	2
bus	0	78	1.8	0.68	1	2	78	22	0	0	0	0	100	100	NA	NA	NA	100	100	100	100	100	4	7	3	1	0	N/A	1	bus	74.18	3.58	3	21	1	16	3	1
bush	0	87	1.7	0.82	1	2	87	11	2	0	0	0	98	98	NA	NA	NA	98	100	100	100	100	6	9	1	5	0	549	1	bush	14.12	2.86	4	14	1.05	122	3	1
bust	0	69	2.2	0.51	0.35	2	34	63	0	3	0	0	97	97	NA	NA	NA	97	100	100	100	100	12	10	7	4	1	N/A	0	bust	27.57	3.15	4	16	1	132	4	1
butt	0	65	2.8	0.52	0.92	4	65	16	18	2	0	0	100	82	98	100	NA	82	98	100	100	100	14	12	7	7	0	N/A	1	butt	38.57	3.29	4	10	1.3	78	3	1
cab	0	97	0.8	0.96	1	2	97	3	0	0	0	0	100	100	NA	NA	NA	100	100	100	100	100	4	4	0	4	0	N/A	1	cab	35.8	3.26	3	28	1	28	3	1
caddy	0	71	2.1	0.53	0.4	2	41	55	5	0	0	0	95	95	NA	NA	NA	95	100	100	100	100	3	2	1	2	0	N/A	0	caddy	2.84	2.16	5	6	1.6	247	4	2
calf	0	64	2	0.36	0.43	2	38	62	0	0	0	0	100	100	NA	NA	NA	100	100	100	100	100	3	4	0	3	0	565	1	calf	2.96	2.18	4	8	1.4	130	3	1
camp	0	90	2.1	0.87	0.89	2	86	8	6	0	0	0	94	94	NA	NA	NA	94	100	100	100	100	9	12	3	5	1	588	1	camp	51.22	3.42	4	11	1	128	4	1
cap	0	80	2.4	0.67	1	2	80	20	1	0	0	0	99	99	NA	NA	NA	99	100	100	100	100	12	10	5	7	0	N/A	1	cap	18.75	2.98	3	30	1	30	3	1
cape	0	72	2.2	0.55	1	2	72	28	0	0	0	0	100	100	NA	NA	NA	100	100	100	100	100	2	2	0	2	0	566	1	Cape	8.24	2.62	4	20	1	115	3	1
capital	0	91	2	0.86	1	2	91	9	0	0	0	0	100	100	NA	NA	NA	100	100	100	100	100	11	11	0	5	6	518	1	capital	12.71	2.81	7	2	2.15	615	6	3
card	0	91	1.7	0.89	1	2	91	5	4	0	0	0	96	96	NA	NA	NA	96	100	100	100	100	6	13	1	5	0	578	1	card	85.43	3.64	4	21	1	202	3	1
cashier	0	98	0.6	0.97	1	2	98	2	0	0	0	0	100	100	NA	NA	NA	100	100	100	100	100	3	4	1	2	0	N/A	1	cashier	3.27	2.23	7	1	1.85	1871	5	2
cat	0	92	1.8	0.87	1	2	92	8	0	0	0	0	100	100	NA	NA	NA	100	100	100	100	100	5	10	0	5	0	617	1	cat	66.33	3.53	3	38	1	35	3	1
chap	0	76	2.3	0.61	0.83	2	72	28	1	0	0	0	99	99	NA	NA	NA	99	100	100	100	100	4	5	2	2	0	N/A	0	chap	6.35	2.51	4	15	1	95	3	1
chase	0	86	1.9	0.86	1	3	86	7	7	0	0	0	100	93	100	NA	NA	93	100	100	100	100	12	6	7	5	0	N/A	1	chase	32.8	3.22	5	5	1.4	307	3	1
chess	0	96	1.3	0.97	1	3	96	2	2	0	0	0	100	98	100	NA	NA	98	100	100	100	100	3	2	0	3	0	N/A	1	chess	7.45	2.58	5	4	1.7	212	3	1
